dataset_name,gamma,C,test_accuracy,training_accuracy
CNAE-9.data,0.000620116796012765,187.62706475314238,0.939815,0.921296
abalone.data,0.42296807780273343,9.233621220687894,0.260922,0.283320
agaricus-lepiota.data,0.034385187779543996,0.295530576797567,1.000000,1.000000
anneal.data,0.0010243791555889007,443.59627735464494,0.846875,0.922594
arrhythmia.data,0.0027953436693771744,21.830539242241198,0.679558,0.726937
audiology.standardized.data,0.02081537130057075,2.5399983964682855,0.762500,0.791667
bridges.data.version1,0.0002272474496874963,1612.5994432497441,0.659091,0.703125
bridges.data.version2,0.02081537130057075,51.61273483249169,0.590909,0.671875
car.data,0.034385187779543996,14.197708632248304,0.991329,0.989382
cmc.data,0.00037539307452626517,32768.0,0.516949,0.511891
dermatology.data,0.004617665262461984,682.0780867771024,0.972789,0.990868
ecoli.data,0.1550005057078233,14.197708632248304,0.851852,0.870647
fertility_Diagnosis.txt,3.0517578125e-05,0.125,0.925000,0.850000
flag.data,0.007627982458736109,6.005177529385341,0.666667,0.629310
glass.data,1.1542026525859874,187.62706475314238,0.686047,0.734375
hayes-roth.data,0.004617665262461984,187.62706475314238,0.843750,0.916667
hepatitis.data,0.012600765339963791,2.5399983964682855,0.870968,0.827957
house-votes-84.data,0.02081537130057075,2.5399983964682855,0.948276,0.973180
ionosphere.data,0.09383089889664595,14.197708632248304,0.929078,0.966667
iris.data,3.1496082875971565,3.905527018872888,0.933333,0.988889
krkopt.data,0.034385187779543996,682.0780867771024,0.655707,0.644211
mammographic_masses.data,1.9066426618932684,51.61273483249169,0.771429,0.828125
pop_failures.dat,0.034385187779543996,6.005177529385341,0.958333,0.959877
tictactoe.data,0.02081537130057075,2.5399983964682855,0.966146,0.994774
transfusion.data,0.25604739006224947,443.59627735464494,0.766667,0.776786
wilt.csv,0.6987065745784211,2479.5490835696255,0.885000,0.883333
wine.data,0.25604739006224947,0.4544107800189308,0.944444,0.990566
winequality-all.csv,64.0,1.6519132559793053,0.590997,0.593125
yeast.data,1.1542026525859874,0.6987065745784213,0.606061,0.607865
zoo.data,0.02081537130057075,1.6519132559793053,0.878049,0.950000
